CNTYVTD,VTDKEY,BidenD_20G_President,TrumpR_20G_President,JorgensenL_20G_President,HawkinsG_20G_President,Write-InW_20G_President
"005011B",70,116,631,7,3,0
"005017B",71,18,285,0,1,0
"0070001",72,319,1317,12,5,0
"0070002",73,664,1637,21,5,0
"0070003",74,843,2406,30,11,0
"0070004",75,687,2307,28,4,1
"007001A",76,215,888,3,2,0
"007004A",77,188,684,9,4,0
"0090001",78,85,859,7,2,0
"0090002",79,73,720,7,0,0
"0090003",80,26,257,2,0,0
"0090004",81,28,500,1,1,1
"0090005",82,11,121,2,0,0
"0090006",83,81,747,11,1,0
"0090007",84,11,141,1,0,0
"0090008",85,33,228,5,0,0
"0090009",86,11,127,1,0,0
"0090010",87,79,533,8,0,0
"0090011",88,8,67,0,0,0
"0110101",89,15,268,0,0,0
"0110201",90,14,145,1,0,0
"0110202",91,10,61,0,0,0
"0110301",92,12,222,0,0,0
"0110303",93,6,37,0,0,0
"0110401",94,8,144,0,0,0
"0110402",95,10,135,1,0,0
"0110404",96,0,23,0,0,0
"0130001",97,140,451,3,1,0
"0130002",98,333,447,6,3,0
"0130003",99,333,687,9,3,1
"0130004",100,23,80,0,0,0
"0130005",101,476,626,4,4,0
"0130006",102,5,74,1,0,0
"0130007",103,343,670,9,3,0
"0130008",104,122,259,4,2,1
"0130009",105,12,113,2,0,0
"0130010",106,320,547,8,2,0
"0130011",107,5,31,0,1,0
"0130012",108,274,504,7,2,1
"0130013",109,440,1229,6,5,4
"0130014",110,79,234,3,2,0
"0130015",111,485,723,11,7,3
"0130016",112,67,106,1,0,0
"0130017",113,614,561,12,3,1
"0130018",114,339,756,4,2,2
"0130019",115,75,251,1,0,1
"0130020",116,622,2106,29,6,2
"0130021",117,25,147,4,1,0
"0130022",118,102,416,2,1,0
"0130023",119,185,267,4,2,0
"0130024",120,457,754,13,8,0
"0150101",121,187,751,8,1,0
"0150102",122,217,808,7,4,0
"0150103",123,161,974,16,2,0
"0150104",124,97,512,4,1,0
"0150205",125,293,1140,16,0,0
"0150206",126,78,391,3,1,0
"0150207",127,47,267,3,1,0
"0150208",128,86,496,3,2,0
"0150209",129,102,391,1,0,0
"0150210",130,87,477,0,1,0
"0150211",131,38,258,2,0,0
"0150312",132,40,451,4,1,0
"0150313",133,307,356,9,4,0
"0150314",134,436,1507,22,10,0
"0150415",135,257,756,5,1,0
"0150416",136,216,699,6,1,0
"0150417",137,136,310,3,0,0
"0150418",138,166,903,11,3,0
"0170001",139,114,440,6,0,0
"0170002",140,101,607,3,0,0
"0170003",141,104,255,4,1,1
"0170004A",142,80,111,1,1,0
"0170004B",143,10,21,0,0,0
"0190101",144,286,1109,10,4,0
"0190102",145,397,1684,24,6,0
"0190203",146,407,1321,17,0,0
"0190204",147,324,968,10,3,0
"0190305",148,340,1551,16,9,1
"0190306",149,142,971,13,1,0
"0190407",150,328,1506,21,3,2
"0190408",151,67,165,3,2,0
"0190409",152,133,441,3,2,0
"0190410",153,81,341,3,0,0
"0211001",154,1024,1676,46,5,5
"0211002",155,917,812,24,4,3
"0211003",156,1131,1392,27,12,8
"0211004",157,760,869,25,9,5
"0211022",158,1049,1502,46,7,11
"0212005",159,806,1119,16,7,2
"0212006",160,409,804,15,4,2
"0212007",161,456,1316,17,6,1
"0212008",162,244,541,8,5,3
"0212009",163,370,640,16,3,1
"0212010",164,338,756,15,6,1
"0212011",165,758,1202,29,5,8
"0213012",166,186,550,16,2,4
"0213013",167,334,773,24,4,5
"0213014",168,843,804,20,6,1
"0213015",169,1032,697,20,6,6
"0213016",170,884,1021,32,7,10
"0214017",171,1210,837,38,8,10
"0214018",172,170,342,5,1,3
"0214019",173,814,1000,27,10,6
"0214020",174,1402,1193,49,8,9
"0214021",175,337,670,16,3,9
"0230001",176,35,480,5,0,0
"0230002",177,43,313,5,0,0
"0230003",178,46,305,8,0,0
"0230004",179,59,396,4,1,2
"0250001",180,449,837,14,3,0
"0250002",181,18,164,3,0,0
"0250003",182,335,638,14,6,2
"0250004",183,67,188,1,1,0
"0250005",184,67,163,1,1,0
"0250006",185,208,524,4,0,0
"0250008",186,32,130,1,0,0
"0250009",187,255,192,5,1,1
"0250010",188,385,333,7,5,0
"0250011",189,37,142,0,0,0
"0250012",190,38,155,1,0,0
"0250013",191,346,646,8,3,2
"0250014",192,41,104,0,0,0
"0250016",193,226,453,11,1,0
"0250017",194,302,378,10,3,1
"0250018",195,297,837,10,0,0
"0250019",196,184,122,3,3,0
"0270101",197,1430,3577,69,15,24
"0270102",198,679,1675,35,5,9
"0270103",199,1339,2668,52,17,14
"0270104",200,1579,4279,89,11,23
"0270105",201,187,993,8,6,1
"0270106",202,1999,1022,59,25,15
"0270107",203,92,254,0,1,0
"0270108",204,192,1043,9,3,3
"0270109",205,845,548,27,5,4
"0270110",206,436,470,34,3,4
"0270111",207,1671,2510,51,14,9
"0270113",208,45,195,2,0,0
"0270201",209,1107,1033,32,12,8
"0270202",210,2028,2453,82,12,14
"0270203",211,1291,4789,74,15,14
"0270204",212,905,602,18,3,6
"0270205",213,1781,920,26,16,9
"0270206",214,761,420,16,6,2
"0270207",215,1419,767,52,12,1
"0270208",216,2772,1504,78,14,11
"0270209",217,3129,2543,120,25,25
"0270210",218,2871,1848,67,16,7
"0270301",219,446,2238,44,4,4
"0270302",220,1135,1621,43,10,6
"0270303",221,1417,1597,49,15,6
"0270304",222,141,432,7,1,1
"0270305",223,662,1299,20,7,13
"0270306",224,773,563,13,8,0
"0270307",225,1059,454,21,4,1
"0270308",226,797,723,41,6,3
"0270309",227,81,524,4,0,2
"0270310",228,43,361,4,0,0
"0270311",229,409,1817,24,0,1
"0270312",230,245,1223,13,0,2
"0270313",231,687,1307,24,4,9
"0270314",232,853,984,19,9,2
"0270315",233,1978,3569,133,8,19
"0270317",234,2036,3587,85,18,20
"0270401",235,231,675,21,4,2
"0270402",236,645,1286,25,8,5
"0270404",237,1713,927,46,14,10
"0270405",238,2285,965,73,12,9
"0270406",239,883,639,19,10,3
"0270408",240,2539,1379,68,17,8
"0270409",241,732,628,20,5,1
"0270410",242,741,421,22,6,1
"0270412",243,2397,855,52,20,16
"0270413",244,3528,1706,90,14,16
"0291001",245,420,108,9,2,0
"0291002",246,307,160,7,3,0
"0291003",247,1108,269,11,0,5
"0291004",248,394,117,3,1,0
"0291005",249,344,100,3,4,0
"0291006",250,861,297,9,4,0
"0291007",251,592,185,4,0,0
"0291008",252,1076,209,9,5,1
"0291009",253,694,474,15,8,2
"0291010",254,320,74,3,1,0
"0291011",255,201,79,4,2,0
"0291012",256,800,432,7,4,1
"0291013",257,1055,263,11,5,1
"0291014",258,517,127,6,1,1
"0291015",259,553,167,4,4,0
"0291016",260,446,139,3,4,1
"0291017",261,86,46,2,0,0
"0291018",262,866,322,6,6,1
"0291019",263,306,109,5,3,2
"0291020",264,977,344,12,5,2
"0291021",265,661,221,8,7,1
"0291022",266,367,123,2,0,0
"0291023",267,943,264,8,3,0
"0291024",268,1301,719,22,15,2
"0291025",269,223,68,0,3,0
"0291026",270,452,166,8,4,0
"0291027",271,175,127,2,1,0
"0291028",272,378,147,2,1,0
"0291029",273,803,247,6,4,0
"0291030A",274,23,16,0,2,0
"0291030B",275,0,0,0,0,0
"0291031",276,589,179,8,6,0
"0291032",277,902,232,11,6,0
"0291033",278,654,357,10,4,2
"0291034",279,1706,1375,48,7,3
"0291035",280,220,227,15,7,1
"0291036",281,1334,764,18,8,1
"0291037",282,907,366,16,7,1
"0291038",283,1203,625,22,14,4
"0291039",284,1021,349,11,11,0
"0291040",285,951,303,8,4,1
"0291041",286,796,254,11,3,0
"0291042",287,445,171,6,1,0
"0291043",288,609,301,10,6,0
"0291044",289,915,331,11,4,2
"0291045",290,1345,535,19,10,2
"0291046",291,822,292,13,4,0
"0291047",292,650,229,5,6,0
"0291048",293,869,347,8,10,1
"0291049",294,960,396,11,5,0
"0291050",295,544,251,3,5,1
"0291051",296,694,420,7,8,0
"0291052",297,861,380,5,2,0
"0291053",298,88,40,0,0,0
"0291054",299,1034,461,14,10,1
"0291055",300,897,487,20,5,0
"0291056",301,1180,731,21,10,0
"0291057",302,644,700,7,4,2
"0291058",303,783,721,5,5,2
"0291059",304,152,91,1,1,0
"0291060",305,1155,428,15,6,1
"0291061",306,979,337,14,8,2
"0291062",307,34,63,1,0,0
"0291063",308,562,645,10,4,0
"0291064A",309,401,311,4,2,1
"0291064B",310,0,0,0,0,0
"0291065",311,714,709,9,3,0
"0291066",312,270,177,4,1,0
"0291067",313,878,1095,10,5,0
"0291068",314,701,576,29,2,1
"0291069",315,199,181,5,0,0
"0291070",316,415,192,6,5,0
"0291071",317,783,418,4,4,1
"0291072",318,884,341,12,3,0
"0291073",319,1411,1028,35,4,2
"0291074",320,6,5,0,0,0
"0291075",321,823,318,15,4,1
"0291076",322,1155,616,18,6,0
"0291077",323,696,221,8,8,0
"0291078",324,210,61,1,0,0
"0291079",325,1146,551,27,5,4
"0291080",326,2126,822,39,10,2
"0291081",327,529,760,16,3,1
"0291082",328,1823,972,50,12,1
"0291083",329,1177,704,24,10,0
"0291084",330,761,320,15,6,1
"0291085",331,635,270,9,7,1
"0291086",332,1012,473,9,5,1
"0291087",333,635,250,9,1,1
"0291088",334,352,115,7,9,0
"0291089",335,615,459,12,8,1
"0291090",336,0,0,0,0,0
"0291091",337,969,451,12,6,0
"0291092",338,420,212,6,3,1
"0291093",339,529,295,11,4,1
"0291094",340,991,562,21,5,1
"0291095",341,95,72,4,2,0
"0291096",342,58,15,2,1,0
"0291097",343,289,125,5,4,0
"0291098",344,387,84,0,2,0
"0291099",345,1299,676,26,8,0
"0291100",346,1210,665,12,6,0
"0291101",347,0,0,0,0,0
"0291102",348,291,324,4,1,4
"0291103",349,288,275,9,1,0
"0291104",350,1375,804,30,14,0
"0291105",351,262,158,5,4,0
"0291106",352,0,0,0,0,0
"0291107",353,943,785,15,12,1
"0291108",354,1906,1343,48,8,1
"0291109",355,0,3,0,0,0
"0291110",356,1236,731,32,5,2
"0291111",357,2208,1303,38,10,5
"0291112",358,2061,912,39,23,2
"0291113",359,1275,686,32,9,1
"0291114",360,23,18,0,0,0
"0291115",361,60,54,1,0,0
"0291116",362,513,444,11,2,0
"0291117",363,123,78,1,0,1
"0291118",364,1736,1465,53,13,1
"0291119",365,56,19,0,1,0
"0291120",366,70,17,1,0,0
"0291121",367,1500,930,35,8,3
"0291122",368,2058,1493,38,4,1
"0291123",369,168,183,0,1,0
"0291124",370,265,192,5,5,0
"0291125",371,880,672,17,4,0
"0291126",372,0,0,0,0,0
"0291127",373,210,84,4,0,0
"0291128",374,606,402,16,3,1
"0291129",375,1068,656,18,6,1
"0291130",376,0,0,0,0,0
"0291131",377,0,0,0,0,0
"0291132",378,2,0,0,0,0
"0291133",379,0,2,0,0,0
"0291134",380,0,0,0,0,0
"0291135",381,0,0,0,0,0
"0291136",382,40,27,0,0,0
"0291137",383,0,0,0,0,0
"0291138",384,373,157,4,2,2
"0291139",385,438,194,6,3,0
"0291140",386,495,316,14,1,1
"0291141",387,955,666,29,6,3
"0291142",388,875,402,21,5,0
"0291143",389,1404,1035,30,10,0
"0291144",390,958,1302,12,4,0
"0291145",391,251,294,2,0,0
"0291146",392,51,56,1,0,0
"0291147",393,1115,615,21,9,1
"0291148",394,340,195,5,4,1
"0291149",395,981,495,21,9,2
"0291150",396,1046,691,23,3,1
"0291151",397,1002,702,29,3,0
"0292001",398,284,76,3,0,0
"0292002",399,480,145,1,1,0
"0292003",400,731,198,4,2,0
"0292004",401,1072,296,14,7,3
"0292005",402,471,127,6,7,1
"0292006",403,9,2,0,0,0
"0292007",404,617,188,6,2,1
"0292008",405,413,132,9,3,2
"0292009",406,892,320,10,4,2
"0292010",407,536,323,13,2,0
"0292011",408,735,194,7,7,1
"0292012",409,542,155,4,4,0
"0292013",410,518,149,9,3,0
"0292014",411,502,172,4,0,0
"0292015",412,642,188,9,6,1
"0292016",413,459,91,2,2,0
"0292017",414,365,101,7,0,0
"0292018",415,559,168,4,1,0
"0292019",416,647,157,5,0,0
"0292020",417,1075,243,12,7,1
"0292021",418,1052,305,10,15,4
"0292022",419,582,169,3,2,1
"0292023",420,1113,331,15,11,2
"0292024",421,706,292,15,3,1
"0292025",422,1174,383,12,9,0
"0292026",423,1015,451,11,6,1
"0292027",424,603,272,5,8,0
"0292028",425,1107,450,6,3,1
"0292029",426,419,123,1,4,0
"0292030",427,550,150,4,5,0
"0292031",428,563,146,6,5,0
"0292032",429,228,66,0,4,0
"0292033",430,277,79,3,4,1
"0292034",431,285,93,7,3,0
"0292035",432,773,220,6,2,0
"0292036",433,894,357,16,3,0
"0292037",434,576,521,13,5,0
"0292038",435,600,335,10,4,0
"0292039A",436,727,173,5,8,2
"0292039B",437,0,0,0,0,0
"0292040",438,1032,438,11,11,1
"0292041",439,1200,461,9,7,1
"0292042",440,660,206,10,7,0
"0292043",441,796,260,9,10,0
"0292044",442,812,291,9,7,2
"0292045",443,1133,289,16,11,1
"0292046",444,1084,408,15,6,0
"0292047",445,817,300,10,3,1
"0292048",446,706,226,11,7,0
"0292049",447,1227,489,13,7,1
"0292050",448,828,348,8,3,0
"0292051",449,303,107,6,1,0
"0292052",450,372,153,5,3,1
"0292053",451,545,156,11,1,0
"0292054",452,1040,262,10,8,2
"0292055",453,880,244,16,8,1
"0292056",454,603,233,7,5,0
"0292057",455,897,304,9,5,2
"0292058",456,888,359,11,8,3
"0292059",457,904,364,12,6,1
"0292060",458,640,244,2,5,1
"0292061",459,500,277,6,5,0
"0292062",460,536,271,8,3,0
"0292063",461,641,903,24,0,0
"0292064",462,995,542,16,5,0
"0292065",463,2184,1208,43,12,2
"0292066",464,1533,1296,38,8,0
"0292067",465,144,35,1,0,0
"0292068",466,1658,1269,34,7,4
"0292069",467,1283,658,11,12,2
"0292070",468,771,177,9,5,0
"0292071",469,262,93,4,2,1
"0292072",470,1287,906,34,11,0
"0292073",471,475,229,7,5,0
"0292074",472,392,120,2,4,0
"0292075",473,412,89,2,3,0
"0292076",474,982,718,26,6,3
"0292077",475,1009,688,24,8,0
"0292078",476,1044,590,23,6,1
"0292079",477,251,41,4,1,0
"0292080",478,576,247,9,7,0
"0292081",479,404,155,4,2,1
"0292082",480,623,290,12,3,1
"0292083",481,408,127,6,4,0
"0292084",482,1266,1262,29,3,1
"0292085",483,608,262,12,2,0
"0292086",484,1477,936,36,15,0
"0292087",485,726,622,17,4,1
"0292088",486,1686,919,31,12,2
"0292089",487,201,49,0,0,1
"0292090",488,926,360,20,8,0
"0292091",489,1285,468,22,12,1
"0292092",490,173,118,4,2,0
"0292093",491,615,393,11,3,0
"0292094",492,68,60,2,0,0
"0292095",493,823,1069,24,4,0
"0292096",494,1060,452,25,6,2
"0292097",495,1081,566,27,8,1
"0292098",496,574,298,13,3,0
"0292099",497,605,492,17,7,0
"0292100",498,543,269,11,3,0
"0292101",499,553,574,12,6,0
"0292102",500,1074,786,12,5,0
"0292103",501,105,32,4,1,0
"0292104",502,132,38,0,0,1
"0292105",503,235,73,1,2,0
"0292106",504,222,95,4,1,1
"0292107",505,1460,894,35,8,3
"0292108",506,458,444,13,3,1
"0292109",507,1,0,0,0,0
"0292110",508,479,336,5,6,0
"0292111",509,442,215,9,3,2
"0292112",510,757,461,11,7,2
"0292113",511,39,15,0,0,0
"0292114",512,895,425,8,7,1
"0292115",513,2675,2217,75,12,1
"0292116",514,0,0,0,0,0
"0292117",515,289,70,4,3,0
"0292118",516,13,1,1,0,0
"0292119",517,142,38,0,0,0
"0292120",518,951,717,22,4,2
"0292121",519,208,111,3,1,0
"0292122",520,687,267,14,7,0
"0292123",521,819,734,18,4,1
"0292124",522,296,177,4,2,1
"0292125",523,1237,994,26,7,2
"0292126",524,600,339,7,5,1
"0292127",525,1068,738,25,8,3
"0292128",526,906,312,9,5,2
"0292129",527,0,0,0,0,0
"0292130",528,968,558,10,3,0
"0292131",529,183,94,4,3,0
"0292132",530,0,0,0,0,0
"0292133",531,157,105,3,0,0
"0292134",532,529,238,17,8,1
"0292135",533,314,141,7,4,0
"0292136",534,1713,1309,47,9,3
"0292137",535,506,281,6,4,0
"0292138",536,396,248,9,3,0
"0292139",537,769,608,18,3,1
"0292140",538,765,318,13,5,2
"0292141",539,618,403,16,4,0
"0292142",540,259,110,2,3,0
"0292143",541,813,582,16,6,1
"0292144",542,873,437,26,3,0
"0292145",543,163,109,3,0,0
"0292146",544,40,14,1,0,0
"0292147",545,243,159,6,1,0
"0292148",546,1619,655,40,11,3
"0292149",547,902,388,11,9,2
"0292150",548,7,1,0,0,0
"0292151",549,11,6,0,0,0
"0292152",550,234,77,3,2,0
"0292153",551,135,71,2,2,1
"0292154",552,1640,1148,45,17,0
"0292155",553,1,0,0,0,0
"0292156",554,611,245,7,1,0
"0292157",555,0,0,0,0,0
"0292158",556,0,0,0,0,0
"0292159",557,83,66,4,2,0
"0292160",558,3,1,0,0,0
"0293001",559,1304,1337,24,5,5
"0293002",560,908,777,22,4,3
"0293003",561,21,33,1,0,0
"0293004",562,0,0,0,0,0
"0293005",563,905,1568,19,6,2
"0293006",564,422,433,14,5,0
"0293007",565,1225,1113,32,2,0
"0293008",566,35,46,0,0,0
"0293009",567,0,11,0,0,1
"0293010",568,294,124,5,0,0
"0293011",569,428,379,5,1,0
"0293012",570,376,625,13,1,0
"0293013",571,805,554,24,4,0
"0293014",572,198,185,8,1,0
"0293015",573,463,321,7,5,1
"0293016",574,86,77,0,0,0
"0293017",575,688,1401,24,1,0
"0293018",576,770,726,16,3,0
"0293019",577,345,151,9,6,2
"0293020",578,1209,851,31,5,1
"0293021",579,673,1320,21,2,0
"0293022",580,717,603,10,1,0
"0293023",581,1050,701,29,9,1
"0293024",582,0,0,0,0,0
"0293025",583,702,674,12,1,0
"0293026",584,616,621,12,3,0
"0293027",585,590,596,17,2,1
"0293028",586,754,730,9,5,0
"0293029",587,549,388,18,5,0
"0293030",588,852,953,14,5,2
"0293031",589,12,6,0,0,0
"0293032",590,953,537,23,8,1
"0293033",591,662,1011,8,2,0
"0293034",592,563,1556,14,2,0
"0293035",593,350,272,3,4,0
"0293036",594,1871,1011,36,10,2
"0293037",595,1241,904,25,2,0
"0293038",596,487,423,11,4,0
"0293039",597,1267,1964,42,3,2
"0293040",598,850,759,20,2,0
"0293041",599,219,222,2,1,0
"0293042",600,851,997,22,4,1
"0293043",601,829,1498,29,4,2
"0293044",602,594,530,11,0,0
"0293045",603,543,705,10,2,0
"0293046",604,670,521,13,3,2
"0293047",605,802,670,15,4,1
"0293048",606,742,517,18,4,0
"0293049",607,835,917,17,1,0
"0293050",608,450,432,9,4,0
"0293051",609,113,190,6,0,0
"0293052",610,1744,1861,31,9,2
"0293053",611,772,689,17,2,0
"0293054",612,763,521,15,5,0
"0293055",613,825,1786,32,1,0
"0293056",614,900,499,18,6,2
"0293057",615,222,215,3,1,0
"0293058",616,1553,871,49,10,1
"0293059",617,685,742,14,4,1
"0293060",618,809,621,16,5,1
"0293061",619,767,566,18,7,1
"0293062",620,13,9,0,0,0
"0293063",621,808,654,13,3,0
"0293064",622,193,150,3,0,0
"0293065",623,20,10,0,0,0
"0293066",624,788,653,11,5,0
"0293067",625,652,577,16,7,0
"0293068",626,1144,525,26,13,3
"0293069",627,1382,1120,33,4,0
"0293070",628,1019,935,21,5,0
"0293071",629,1097,694,16,10,3
"0293072",630,1458,1794,41,7,2
"0293073",631,716,510,18,6,0
"0293074",632,1010,1027,28,5,0
"0293075",633,1042,1510,30,7,1
"0293076",634,479,640,11,3,0
"0293077",635,1032,953,25,3,2
"0293078",636,1142,1093,30,8,1
"0293079",637,1265,1209,20,2,4
"0293080",638,437,455,10,2,0
"0293081",639,900,788,26,6,2
"0293082",640,931,852,37,6,0
"0293083",641,555,623,15,6,3
"0293084",642,1247,1216,37,8,1
"0293085",643,494,449,20,3,0
"0293086A",644,701,723,19,8,0
"0293086B",645,0,0,0,0,0
"0293087",646,528,668,12,2,0
"0293088",647,1345,1480,26,7,3
"0293089",648,1346,2398,40,6,1
"0293090",649,1130,1222,44,14,2
"0293091",650,227,463,9,2,0
"0293092",651,780,1396,28,2,1
"0293093",652,1647,1948,38,2,0
"0293094",653,1371,1698,23,5,3
"0293095",654,1240,633,20,6,1
"0293096",655,1109,1449,36,6,1
"0293097",656,1,10,0,0,0
"0293098",657,501,505,15,0,0
"0293099",658,1410,1303,19,7,2
"0293100",659,1307,1120,35,11,3
"0293101",660,1075,1038,28,9,1
"0293102",661,1163,1233,38,5,0
"0293103",662,320,218,3,3,0
"0293104",663,968,1083,34,5,0
"0293105",664,1227,1184,41,8,2
"0293106A",665,491,833,11,1,1
"0293106B",666,0,0,0,0,0
"0293107",667,733,396,16,6,0
"0293108",668,546,686,12,3,0
"0293109",669,1207,877,32,3,4
"0293110",670,1154,1093,26,6,0
"0293111",671,0,0,0,0,0
"0293112",672,712,353,17,7,1
"0293113",673,475,222,18,7,1
"0293114",674,710,1165,20,2,0
"0293115",675,723,761,12,4,1
"0293116",676,664,438,5,6,3
"0293117",677,1136,1273,26,6,1
"0293118",678,410,343,6,4,2
"0293119",679,1584,1162,50,7,0
"0293120",680,1291,1221,38,13,1
"0293121",681,1696,1753,47,4,0
"0293122",682,890,872,14,3,0
"0293123",683,212,329,7,2,0
"0293124",684,1548,1754,33,9,1
"0293125A",685,1340,1550,31,6,1
"0293125B",686,4,4,0,0,0
"0293126",687,704,844,15,5,1
"0293127",688,1567,1102,41,6,1
"0293128",689,15,25,0,1,0
"0293129",690,1448,929,40,10,1
"0293130",691,644,825,20,5,0
"0293131",692,0,2,0,0,0
"0293132",693,590,312,9,1,1
"0293133",694,0,0,0,0,0
"0293134",695,1213,509,23,11,0
"0293135",696,432,239,10,3,0
"0293136",697,198,172,4,0,0
"0293137",698,1737,2013,54,9,4
"0293138",699,13,31,3,0,0
"0293139",700,672,419,14,5,1
"0293140",701,175,88,6,1,0
"0293141",702,617,341,7,9,1
"0293142",703,215,130,7,0,0
"0293143",704,640,500,9,2,0
"0293144",705,224,168,8,0,0
"0293145",706,1397,1361,40,7,1
"0293146",707,1597,880,35,8,0
"0293147",708,1067,757,21,2,1
"0293148",709,460,589,7,1,0
"0293149",710,920,250,22,11,2
"0293150",711,15,15,0,0,0
"0293151",712,1081,1323,24,6,0
"0293152",713,790,361,19,5,2
"0293153",714,589,575,9,5,0
"0293154",715,600,723,11,2,0
"0293155",716,1019,1206,29,2,0
"0293156",717,7,7,0,0,0
"0293157",718,1054,1038,22,6,2
"0293158",719,29,31,0,0,0
"0293159",720,929,564,14,7,2
"0293160",721,577,680,15,4,1
"0293161",722,1096,671,29,6,2
"0293162",723,548,419,17,1,1
"0293163",724,928,1063,23,4,0
"0293164",725,610,965,15,2,0
"0293165",726,1413,1517,50,8,0
"0293166",727,221,165,8,2,0
"0293167",728,1,1,0,0,0
"0293168",729,251,216,0,1,0
"0293169",730,39,68,0,0,0
"0293170",731,0,0,0,0,0
"0293171",732,0,0,0,0,0
"0293172",733,265,131,5,3,1
"0293173",734,1424,1428,25,3,1
"0293174",735,1483,1959,32,2,2
"0293175",736,247,218,2,2,0
"0293176",737,20,19,0,0,0
"0293177",738,0,0,0,0,0
"0293178",739,0,0,0,0,0
"0293179",740,0,0,0,0,0
"0293180",741,490,371,8,2,0
"0293181",742,853,1004,17,8,1
"0293182",743,339,277,4,1,0
"0293183",744,1,11,0,0,0
"0293184",745,71,79,2,2,0
"0293185",746,126,89,3,0,0
"0293186",747,0,0,0,0,0
"0293187",748,0,0,0,0,0
"0293188",749,0,0,0,0,0
"0293189",750,495,370,6,2,0
"0293190",751,184,100,6,0,0
"0293191",752,85,83,0,0,0
"0293192",753,0,0,0,0,0
"0293193",754,76,79,1,0,0
"0293194",755,1299,1997,52,10,1
"0293195",756,925,325,21,5,2
"0293196",757,2,10,0,0,0
"0293197",758,0,0,0,0,0
"0293198",759,310,269,7,1,0
"0293199A",760,1143,1440,19,6,1
"0293199B",761,0,0,0,0,0
"0293200",762,0,0,0,0,0
"0293201",763,1339,2064,41,4,1
"0293202",764,430,441,14,2,1
"0293203",765,152,229,5,0,0
"0293204",766,0,0,0,0,0
"0293205",767,0,0,0,0,0
"0293206A",768,83,21,0,2,0
"0293206B",769,0,0,0,0,0
"0293206C",770,0,0,0,0,0
"0293207",771,3,0,0,0,0
"0293208",772,48,16,0,0,0
"0293209",773,278,343,6,0,0
"0293210",774,1131,839,19,3,1
"0294001",775,1472,610,33,6,2
"0294002",776,364,113,2,3,0
"0294003",777,572,113,8,4,0
"0294004",778,517,167,5,1,0
"0294005",779,825,192,15,8,0
"0294006",780,327,90,5,2,0
"0294007A",781,441,377,29,3,0
"0294007B",782,0,0,0,0,0
"0294007C",783,0,0,0,0,0
"0294007D",784,0,0,0,0,0
"0294007E",785,0,0,0,0,0
"0294008",786,261,167,9,1,0
"0294009",787,374,93,2,1,0
"0294010",788,584,92,4,2,0
"0294011",789,641,94,5,7,2
"0294012",790,342,85,1,3,0
"0294013",791,390,144,8,2,0
"0294014",792,194,47,3,2,1
"0294015",793,796,217,11,10,0
"0294016",794,1028,331,16,4,0
"0294017",795,1085,266,30,8,2
"0294018",796,643,171,6,4,0
